,x_initial,v_initial,x_step10,v_step10,x_step20,v_step20,x_step30,v_step30,x_step40,v_step40,x_step50,v_step50,x_step60,v_step60,x_step70,v_step70,x_step80,v_step80,x_step90,v_step90,x_step100,v_step100,x_step110,v_step110,x_step120,v_step120,x_step130,v_step130,x_step140,v_step140,x_step150,v_step150
684,0.1362350527641615,-0.0773651735096369,0.0981266190162562,-0.0720439238714844,0.0669560369386114,-0.0501071559499728,0.0499784941064586,-0.016401703271939,0.0512013541311833,0.021194180503312,0.0703349464584798,0.0537675462196367,0.1028694552202767,0.0737379503270099,0.1412504599519506,0.0767500352452241,0.1767512114790025,0.0625120021946809,0.2014787420749203,0.0345266465086432,0.2100370585636972,-0.0009351341670973,0.2005779418050317,-0.0361959621251115,0.1751442918923617,-0.0636152356396098,0.1392902023847335,-0.0770311488109679,0.100995728017574,-0.0731133321185544,0.0689779528983667,-0.0523619081003015
685,0.1323577812564794,-0.0776367729914428,0.0945596963490758,-0.0705481326622636,0.0645229862491748,-0.047154706838861,0.0492511935065853,-0.0126704283491771,0.0523523655433386,0.0248206055576998,0.0730915812008028,0.0564335245489184,0.1065860552020626,0.074839667492704,0.14507320151159,0.0760719307777756,0.1798219089335769,0.06024611605996,0.2031227695917286,0.0311965354962104,0.2098986198570309,-0.0046013924750751,0.1986868290757011,-0.0394087226138723,0.1719104240542885,-0.0656682393434768,0.1354261288390387,-0.0774434400853328,0.0973719627906828,-0.0717513231633614,0.0664297402741278,-0.0495038019388772
686,0.1284713858363382,-0.0777295917061956,0.0910717641592457,-0.0688858797031325,0.0622404793679825,-0.0440888652552868,0.0487113387149207,-0.0089083902971382,0.0536833041407655,0.0283868986966608,0.075978217331618,0.0589645321035835,0.1103533872155359,0.0757661511288557,0.1488576698739174,0.0752200993058561,0.1827758843076619,0.0578457844919604,0.2045984859645263,0.0277978945392912,0.2095770194825919,-0.0082575947343489,0.1966371590673353,-0.0425346601934563,0.168577527492413,-0.0675739237675594,0.1315458727500172,-0.0776777526215211,0.0938205581538573,-0.0702203165513478,0.0640274888308929,-0.0465267964823777
687,0.1245848273427543,-0.0776429622833747,0.0876710617313795,-0.0670607262571217,0.0601140091976395,-0.0409168521141701,0.0483602408122692,-0.0051247142877727,0.0551909466445057,0.0318844758655142,0.0789879569113528,0.0613547706260064,0.1141626407268898,0.0765156600595059,0.1525952332167272,0.0741969131876255,0.1856065522984864,0.0553166202612396,0.2059026512743617,0.0243382505298552,0.2090729604068362,-0.0118957429755064,0.1944334504111049,-0.0455667567291244,0.1651530872758647,-0.0693276754565002,0.127658362884397,-0.0777330953189567,0.0903498884776766,-0.0685235437279225,0.061776972953137,-0.043437873788786
688,0.1207070896992629,-0.077376631571658,0.0843656399096629,-0.0650766458461295,0.0581487002033765,-0.0376461749571879,0.0481987528018539,-0.0013285856178696,0.0568716450073519,0.0353049419159286,0.0821136211456697,0.0635988105820162,0.1180049288323125,0.0770868807792998,0.1562773878116921,0.0730051192630995,0.1883076147809256,0.0526644909800411,0.2070324049375915,0.0208252427754792,0.2083875448587466,-0.0155078719247187,0.1920805683867786,-0.0484981716431403,0.1616448114599379,-0.0709251947273518,0.1237725673991034,-0.0776088868877684,0.0869681560817181,-0.0666646529614792,0.0596836101830558,-0.0402443168890744
689,0.1168471590717741,-0.0769307654105012,0.0811633406405727,-0.0629380173791397,0.0563492945446679,-0.0342846089064166,0.0482272672375267,0.0024707757827767,0.0587213364285457,0.0386401130127491,0.0853477691285343,0.0656916028059842,0.1218713096341022,0.0774789265849837,0.1598957765109648,0.0716478290284935,0.190873073208275,0.0498955053477563,0.2079852709641081,0.0172666084884894,0.2075222723324112,-0.0190860635150466,0.1895837156860744,-0.0513222562363946,0.1580606150888017,-0.0723625078222991,0.1198974732012856,-0.0773049613708575,0.0836833705237609,-0.0646477034887654,0.0577524466135243,-0.0369536915730722
690,0.1130140028120323,-0.0763059524095194,0.0780717768914183,-0.0606496169877323,0.0547201391849439,-0.030840176617158,0.0484457151312624,0.0062641409804594,0.0607355544695587,0.0418820382306587,0.0886827171357129,0.0676284888649638,0.125752807545005,0.0776913355925393,0.1634422067266598,0.0701285082034303,0.1932972403205853,0.0470159992235813,0.2087591624898335,0.013670168270146,0.2064790368639654,-0.0226224614006341,0.1869484224617714,-0.0540325679264437,0.1544086036007459,-0.0736359786307914,0.1160420650554255,-0.0768215727129156,0.0805033282137606,-0.0624771583728255,0.0559881432186668,-0.033573827126799
691,0.1092165482375075,-0.0755032066880829,0.0750983130094518,-0.0582166085676647,0.0532651740278713,-0.0273211272956081,0.0488535661442686,0.0100422977023943,0.0629094412285003,0.0450230202652979,0.0921105584043152,0.0694052101318941,0.1296404344660821,0.0777240676826755,0.1669086678741797,0.0684509657433562,0.1955747511526863,0.0440325215555578,0.2093523855833541,0.0100438115938788,0.2052601235827572,-0.0261092854731803,0.1841805356672742,-0.0566228843800688,0.1506970556586844,-0.0747423199325295,0.1122153044864381,-0.0761593983270036,0.0774355924172015,-0.0601578760672998,0.0543949631730257,-0.0301127960820811
692,0.1054636613008641,-0.0745239695302365,0.0722500455861924,-0.0556445330318179,0.051987921125247,-0.0237359148528711,0.0494498300609592,0.0137960759355373,0.0652377605270573,0.0480556351890415,0.0956231833336724,0.0710179155645356,0.1335252107856308,0.0775775004204219,0.1702873482529384,0.0666193423482199,0.1977005733354108,0.0409518201922432,0.2097636423267292,0.0063954822900367,0.203868204536649,-0.0295388463789006,0.1812862076924855,-0.0590872175155546,0.146934405431108,-0.0756786041110026,0.1084261085300946,-0.0753195416116221,0.0744874737125842,-0.0576951006871982,0.0529767602071166,-0.0265788930453693
693,0.1017641252043262,-0.0733701099132172,0.0695337848911808,-0.0529392962865044,0.0508914749978298,-0.0200931752722715,0.0502330595399491,0.0175163733580661,0.0677149120605293,0.0509727511875707,0.099212300042833,0.0724631681932583,0.1373981861490424,0.0772524239971255,0.1735706513405532,0.0646380985168634,0.1996700166847694,0.0377808276003278,0.2099920331705928,0.002733164033304,0.2023063337914953,-0.0329035600327636,0.1782718843031588,-0.0614198273469472,0.1431292243512356,-0.0764422732858212,0.1046833283843843,-0.0743035333739944,0.0716660109676404,-0.0550944509928291,0.0517369680436644,-0.0229806126784434
694,0.0981266190162562,-0.0720439238714844,0.0669560369386114,-0.0501071559499728,0.0499784941064586,-0.016401703271939,0.0512013541311833,0.021194180503312,0.0703349464584798,0.0537675462196367,0.1028694552202767,0.0737379503270099,0.1412504599519506,0.0767500352452241,0.1767512114790025,0.0625120021946809,0.2014787420749203,0.0345266465086432,0.2100370585636972,-0.0009351341670973,0.2005779418050317,-0.0361959621251115,0.1751442918923617,-0.0636152356396098,0.1392902023847335,-0.0770311488109679,0.100995728017574,-0.0731133321185544,0.0689779528983667,-0.0523619081003015,0.0506785909550403,-0.0193266269090528
695,0.0945596963490758,-0.0705481326622636,0.0645229862491748,-0.047154706838861,0.0492511935065853,-0.0126704283491771,0.0523523655433386,0.0248206055576998,0.0730915812008028,0.0564335245489184,0.1065860552020626,0.074839667492704,0.14507320151159,0.0760719307777756,0.1798219089335769,0.06024611605996,0.2031227695917286,0.0311965354962104,0.2098986198570309,-0.0046013924750751,0.1986868290757011,-0.0394087226138723,0.1719104240542885,-0.0656682393434768,0.1354261288390387,-0.0774434400853328,0.0973719627906828,-0.0717513231633614,0.0664297402741278,-0.0495038019388772,0.0498041954783911,-0.0156257614544705
696,0.0910717641592457,-0.0688858797031325,0.0622404793679825,-0.0440888652552868,0.0487113387149207,-0.0089083902971382,0.0536833041407655,0.0283868986966608,0.075978217331618,0.0589645321035835,0.1103533872155359,0.0757661511288557,0.1488576698739174,0.0752200993058561,0.1827758843076619,0.0578457844919604,0.2045984859645263,0.0277978945392912,0.2095770194825919,-0.0082575947343489,0.1966371590673353,-0.0425346601934563,0.168577527492413,-0.0675739237675594,0.1315458727500172,-0.0776777526215211,0.0938205581538573,-0.0702203165513478,0.0640274888308929,-0.0465267964823777,0.0491159033206817,-0.011886971745366
697,0.0876710617313795,-0.0670607262571217,0.0601140091976395,-0.0409168521141701,0.0483602408122692,-0.0051247142877727,0.0551909466445057,0.0318844758655142,0.0789879569113528,0.0613547706260064,0.1141626407268898,0.0765156600595059,0.1525952332167272,0.0741969131876255,0.1856065522984864,0.0553166202612396,0.2059026512743617,0.0243382505298552,0.2090729604068362,-0.0118957429755064,0.1944334504111049,-0.0455667567291244,0.1651530872758647,-0.0693276754565002,0.127658362884397,-0.0777330953189567,0.0903498884776766,-0.0685235437279225,0.061776972953137,-0.043437873788786,0.0486153854814015,-0.0081193183412999
698,0.0843656399096629,-0.0650766458461295,0.0581487002033765,-0.0376461749571879,0.0481987528018539,-0.0013285856178696,0.0568716450073519,0.0353049419159286,0.0821136211456697,0.0635988105820162,0.1180049288323125,0.0770868807792998,0.1562773878116921,0.0730051192630995,0.1883076147809256,0.0526644909800411,0.2070324049375915,0.0208252427754792,0.2083875448587466,-0.0155078719247187,0.1920805683867786,-0.0484981716431403,0.1616448114599379,-0.0709251947273518,0.1237725673991034,-0.0776088868877684,0.0869681560817181,-0.0666646529614792,0.0596836101830558,-0.0402443168890744,0.0483038576160286,-0.0043319419324687
699,0.0811633406405727,-0.0629380173791397,0.0563492945446679,-0.0342846089064166,0.0482272672375267,0.0024707757827767,0.0587213364285457,0.0386401130127491,0.0853477691285343,0.0656916028059842,0.1218713096341022,0.0774789265849837,0.1598957765109648,0.0716478290284935,0.190873073208275,0.0498955053477563,0.2079852709641081,0.0172666084884894,0.2075222723324112,-0.0190860635150466,0.1895837156860744,-0.0513222562363946,0.1580606150888017,-0.0723625078222991,0.1198974732012856,-0.0773049613708575,0.0836833705237609,-0.0646477034887654,0.0577524466135243,-0.0369536915730722,0.0481820766585372,-0.0005340380250453
